Aachen Hbf,2,Aachen,"{'type': 'Point', 'coordinates': [6.091499, 50.7678]}"
Aachen-Rothe Erde,4,Aachen,"{'type': 'Point', 'coordinates': [6.116475, 50.770202]}"
Aachen-Rothe Erde,4,Aachen,"{'type': 'Point', 'coordinates': [6.116475, 50.770202]}"
Aalen,2,Aalen,"{'type': 'Point', 'coordinates': [10.096271, 48.841013]}"
Achern,4,Achern,"{'type': 'Point', 'coordinates': [8.065324, 48.63399]}"
Achim,4,Achim,"{'type': 'Point', 'coordinates': [9.030447, 53.01599]}"
Ahlen (Westf),4,Ahlen ,"{'type': 'Point', 'coordinates': [7.895488, 51.761062]}"
Ahrensburg,4,Ahrensburg,"{'type': 'Point', 'coordinates': [10.236206, 53.669171]}"
Ahrensfelde,4,Berlin,"{'type': 'Point', 'coordinates': [13.565154, 52.571375]}"
Alexanderplatz,3,Berlin,"{'type': 'Point', 'coordinates': [13.410961, 52.521481]}"
Alexanderplatz,3,Berlin,"{'type': 'Point', 'coordinates': [13.410961, 52.521481]}"
Alfeld (Leine),4,Alfeld ,"{'type': 'Point', 'coordinates': [9.817779, 51.981417]}"
Allensbach,4,Allensbach,"{'type': 'Point', 'coordinates': [9.068852, 47.714464]}"
Allermöhe,4,Hamburg,"{'type': 'Point', 'coordinates': [10.158735, 53.490356]}"
Allermöhe (S-Bahn),4,Hamburg,"{'type': 'Point', 'coordinates': [10.158735, 53.490356]}"
Altbach,3,Altbach,"{'type': 'Point', 'coordinates': [9.382384, 48.720393]}"
Alte Wöhr (S-Bahn),4,Hamburg,"{'type': 'Point', 'coordinates': [10.035415, 53.59793]}"
Altenbeken,2,Altenbeken,"{'type': 'Point', 'coordinates': [8.943319, 51.766433]}"
Altenhundem,4,Lennestadt,"{'type': 'Point', 'coordinates': [8.071517, 51.104132]}"
Altglienicke,4,Berlin,"{'type': 'Point', 'coordinates': [13.558753, 52.407299]}"
Alzey,3,Alzey,"{'type': 'Point', 'coordinates': [8.109749, 49.7502]}"
Andernach,3,Andernach,"{'type': 'Point', 'coordinates': [7.404839, 50.434542]}"
Angermünde,3,Angermünde,"{'type': 'Point', 'coordinates': [13.996361, 53.015221]}"
Ansbach,3,Ansbach,"{'type': 'Point', 'coordinates': [10.578239, 49.298032]}"
Apolda,4,Apolda,"{'type': 'Point', 'coordinates': [11.526136, 51.03094]}"
Appelhülsen,4,Nottuln-Appelhülsen,"{'type': 'Point', 'coordinates': [7.426334, 51.892139]}"
Appenweier,4,Appenweier,"{'type': 'Point', 'coordinates': [7.97319, 48.541461]}"
Appenweier,4,Appenweier,"{'type': 'Point', 'coordinates': [7.97319, 48.541461]}"
Arnsberg (Westf),4,Arnsberg,"{'type': 'Point', 'coordinates': [8.067965, 51.405662]}"
Arnstadt Hbf,4,Arnstadt,"{'type': 'Point', 'coordinates': [10.948262, 50.841939]}"
Aschaffenburg Hbf,2,Aschaffenburg,"{'type': 'Point', 'coordinates': [9.143697, 49.980557]}"
Aschersleben Pbf,4,Aschersleben,"{'type': 'Point', 'coordinates': [11.465689, 51.757122]}"
Asperg,4,Asperg,"{'type': 'Point', 'coordinates': [9.147797, 48.907359]}"
Au (Sieg),3,Windeck,"{'type': 'Point', 'coordinates': [7.656537, 50.773765]}"
Augsburg Haunstetterstraße,3,Augsburg,"{'type': 'Point', 'coordinates': [10.900985, 48.355285]}"
Augsburg Hbf,2,Augsburg,"{'type': 'Point', 'coordinates': [10.88557, 48.365441]}"
Augsburg-Hochzoll,3,Augsburg,"{'type': 'Point', 'coordinates': [10.943376, 48.352977]}"
Augsburg-Hochzoll,3,Augsburg,"{'type': 'Point', 'coordinates': [10.943376, 48.352977]}"
Augsburg-Oberhausen,4,Augsburg,"{'type': 'Point', 'coordinates': [10.872533, 48.380772]}"
Aulendorf,4,Aulendorf,"{'type': 'Point', 'coordinates': [9.644046, 47.953052]}"
Aumühle,4,Aumühle,"{'type': 'Point', 'coordinates': [10.314672, 53.529853]}"
Aumühle,4,Aumühle,"{'type': 'Point', 'coordinates': [10.314672, 53.529853]}"
Aumühle,4,Aumühle,"{'type': 'Point', 'coordinates': [10.314672, 53.529853]}"
Bacharach,4,Bacharach,"{'type': 'Point', 'coordinates': [7.769523, 50.056101]}"
Backnang,3,Backnang,"{'type': 'Point', 'coordinates': [9.425989, 48.942676]}"
Bad Bentheim,4,Bad Bentheim,"{'type': 'Point', 'coordinates': [7.158539, 52.30985]}"
Bad Dürkheim,4,Bad Dürkheim,"{'type': 'Point', 'coordinates': [8.170701, 49.460633]}"
Bad Endorf (Oberbay),4,Bad Endorf ,"{'type': 'Point', 'coordinates': [12.301558, 47.905066]}"
Bad Friedrichshall Hbf,3,Bad Friedrichshall,"{'type': 'Point', 'coordinates': [9.199771, 49.231571]}"
Bad Harzburg,3,Bad Harzburg,"{'type': 'Point', 'coordinates': [10.555444, 51.888116]}"
Bad Hersfeld,3,Bad Hersfeld,"{'type': 'Point', 'coordinates': [9.716182, 50.869632]}"
Bad Homburg,3,Bad Homburg,"{'type': 'Point', 'coordinates': [8.620624, 50.219904]}"
Bad Hönningen,4,Bad Hönningen,"{'type': 'Point', 'coordinates': [7.310871, 50.513676]}"
Bad Kleinen,4,Bad Kleinen,"{'type': 'Point', 'coordinates': [11.466925, 53.766974]}"
Bad Kreuznach,3,Bad Kreuznach,"{'type': 'Point', 'coordinates': [7.866435, 49.842399]}"
Bad Krozingen,4,Bad Krozingen,"{'type': 'Point', 'coordinates': [7.697632, 47.919721]}"
Bad Langensalza,4,Bad Langensalza,"{'type': 'Point', 'coordinates': [10.640671, 51.101701]}"
Bad Münster am Stein,4,Bad Münster am Stein,"{'type': 'Point', 'coordinates': [7.846989, 49.813426]}"
Bad Nauheim,4,Bad Nauheim,"{'type': 'Point', 'coordinates': [8.749334, 50.367904]}"
Bad Oeynhausen,3,Bad Oeynhausen,"{'type': 'Point', 'coordinates': [8.796523, 52.205398]}"
Bad Oldesloe,2,Bad Oldesloe,"{'type': 'Point', 'coordinates': [10.3825414, 53.8053902]}"
Bad Rappenau,4,Bad Rappenau,"{'type': 'Point', 'coordinates': [9.101529, 49.237765]}"
Bad Schandau,3,Bad Schandau,"{'type': 'Point', 'coordinates': [14.1375375, 50.9192886]}"
Bad Schönborn Süd,4,Bad Schönborn,"{'type': 'Point', 'coordinates': [8.641924, 49.200001]}"
Bad Vilbel,3,Bad Vilbel,"{'type': 'Point', 'coordinates': [8.73946, 50.188677]}"
Baden-Baden,3,Baden-Baden,"{'type': 'Point', 'coordinates': [8.190831, 48.790327]}"
Bahrenfeld (S-Bahn),4,Hamburg,"{'type': 'Point', 'coordinates': [9.910778, 53.56006]}"
Balingen (Württ),4,Balingen ,"{'type': 'Point', 'coordinates': [8.850307, 48.278469]}"
Bamberg,2,Bamberg,"{'type': 'Point', 'coordinates': [10.899489, 49.900759]}"
Bargteheide,4,Bargteheide,"{'type': 'Point', 'coordinates': [10.269104, 53.7282]}"
Barmbek (S-Bahn),4,Hamburg,"{'type': 'Point', 'coordinates': [10.044164, 53.587458]}"
Baumschulenweg,4,Berlin,"{'type': 'Point', 'coordinates': [13.490097, 52.467244]}"
Bautzen,4,Bautzen,"{'type': 'Point', 'coordinates': [14.428735, 51.173097]}"
Bayreuth Hbf,3,Bayreuth,"{'type': 'Point', 'coordinates': [11.579985, 49.949616]}"
Bebra,3,Bebra,"{'type': 'Point', 'coordinates': [9.797788, 50.969568]}"
Bellevue,4,Berlin,"{'type': 'Point', 'coordinates': [13.348263, 52.519955]}"
Bensheim,4,Bensheim,"{'type': 'Point', 'coordinates': [8.616717, 49.681329]}"
Bergen auf Rügen,3,Bergen (Rügen),"{'type': 'Point', 'coordinates': [13.417821, 54.4205]}"
Bergfelde (b Berlin),4,Hohen Neuendorf,"{'type': 'Point', 'coordinates': [13.320244, 52.670303]}"
Berlin Anhalter Bahnhof,3,Berlin,"{'type': 'Point', 'coordinates': [13.381362, 52.503486]}"
Berlin Brandenburger Tor,4,Berlin,"{'type': 'Point', 'coordinates': [13.381815, 52.516506]}"
Berlin Frankfurter Allee,4,Berlin,"{'type': 'Point', 'coordinates': [13.47441, 52.515168]}"
Berlin Hauptbahnhof,1,Berlin,"{'type': 'Point', 'coordinates': [13.369545, 52.525592]}"
Berlin Hauptbahnhof–Lehrter Bahnhof,1,Berlin,"{'type': 'Point', 'coordinates': [13.369545, 52.525592]}"
Berlin Hauptbahnhof–Lehrter Bahnhof,1,Berlin,"{'type': 'Point', 'coordinates': [13.369545, 52.525592]}"
Berlin Hauptbahnhof–Lehrter Bahnhof,1,Berlin,"{'type': 'Point', 'coordinates': [13.369545, 52.525592]}"
Berlin Ostbahnhof,1,Berlin,"{'type': 'Point', 'coordinates': [13.4346807, 52.5104881]}"
Berlin Potsdamer Platz,2,Berlin,"{'type': 'Point', 'coordinates': [13.375988, 52.509379]}"
Berlin Südkreuz,1,Berlin,"{'type': 'Point', 'coordinates': [13.365319, 52.475047]}"
Berlin Zoologischer Garten,2,Berlin,"{'type': 'Point', 'coordinates': [13.331992, 52.507277]}"
Berlin-Adlershof,4,Berlin,"{'type': 'Point', 'coordinates': [13.541129, 52.435031]}"
Berlin-Blankenburg,4,Berlin,"{'type': 'Point', 'coordinates': [13.44333, 52.591164]}"
Berlin-Buch,4,Berlin,"{'type': 'Point', 'coordinates': [13.492286, 52.636162]}"
Berlin-Charlottenburg,3,Berlin,"{'type': 'Point', 'coordinates': [13.3023298, 52.5042126]}"
Berlin-Friedrichshagen,4,Berlin,"{'type': 'Point', 'coordinates': [13.6246, 52.457247]}"
Berlin-Friedrichstraße,2,Berlin,"{'type': 'Point', 'coordinates': [13.3872056, 52.520373]}"
Berlin-Friedrichstraße,2,Berlin,"{'type': 'Point', 'coordinates': [13.3872056, 52.520373]}"
Berlin-Frohnau,4,Berlin,"{'type': 'Point', 'coordinates': [13.289934, 52.632758]}"
Berlin-Gesundbrunnen,1,Berlin,"{'type': 'Point', 'coordinates': [13.388513, 52.548963]}"
Berlin-Gesundbrunnen,1,Berlin,"{'type': 'Point', 'coordinates': [13.388513, 52.548963]}"
Berlin-Gesundbrunnen,1,Berlin,"{'type': 'Point', 'coordinates': [13.388513, 52.548963]}"
Berlin-Grünau,4,Berlin,"{'type': 'Point', 'coordinates': [13.573497, 52.413028]}"
Berlin-Grunewald,4,Berlin,"{'type': 'Point', 'coordinates': [13.26172, 52.488693]}"
Berlin-Halensee,4,Berlin,"{'type': 'Point', 'coordinates': [13.290326, 52.496254]}"
Berlin-Hermsdorf,4,Berlin,"{'type': 'Point', 'coordinates': [13.30769, 52.617782]}"
Berlin-Hohenschönhausen,4,Berlin,"{'type': 'Point', 'coordinates': [13.5124218, 52.5660016]}"
Berlin-Hohenschönhausen,4,Berlin,"{'type': 'Point', 'coordinates': [13.5124218, 52.5660016]}"
Berlin-Karlshorst,3,Berlin,"{'type': 'Point', 'coordinates': [13.5279465, 52.4797942]}"
Berlin-Karow,4,Berlin,"{'type': 'Point', 'coordinates': [13.469204, 52.614884]}"
Berlin-Kaulsdorf,4,Berlin,"{'type': 'Point', 'coordinates': [13.58894, 52.512093]}"
Berlin-Köpenick,4,Berlin,"{'type': 'Point', 'coordinates': [13.580942, 52.45861]}"
Berlin-Lichtenberg,2,Berlin,"{'type': 'Point', 'coordinates': [13.4966934, 52.5101355]}"
Berlin-Lichterfelde Ost,3,Berlin,"{'type': 'Point', 'coordinates': [13.328556, 52.429451]}"
Berlin-Lichterfelde West,4,Berlin,"{'type': 'Point', 'coordinates': [13.293732, 52.44335]}"
Berlin-Mahlsdorf,4,Berlin,"{'type': 'Point', 'coordinates': [13.611417, 52.512107]}"
Berlin-Marzahn,4,Berlin,"{'type': 'Point', 'coordinates': [13.541341, 52.543608]}"
Berlin-Neukölln,4,Berlin,"{'type': 'Point', 'coordinates': [13.44306, 52.46942]}"
Berlin-Nordbahnhof,4,Berlin,"{'type': 'Point', 'coordinates': [13.388464, 52.532066]}"
Berlin-Rummelsburg,4,Berlin,"{'type': 'Point', 'coordinates': [13.478362, 52.501309]}"
Berlin-Rummelsburg,4,Berlin,"{'type': 'Point', 'coordinates': [13.478362, 52.501309]}"
Berlin-Rummelsburg,4,Berlin,"{'type': 'Point', 'coordinates': [13.478362, 52.501309]}"
Berlin-Schlachtensee,4,Berlin,"{'type': 'Point', 'coordinates': [13.215025, 52.439976]}"
Berlin-Schönefeld Flughafen,3,Schönefeld,"{'type': 'Point', 'coordinates': [13.51271, 52.391062]}"
Berlin-Schöneweide Pbf,3,Berlin,"{'type': 'Point', 'coordinates': [13.509395, 52.455127]}"
Berlin-Schönholz,4,Berlin,"{'type': 'Point', 'coordinates': [13.381111, 52.571422]}"
Berlin-Spandau,2,Berlin,"{'type': 'Point', 'coordinates': [13.1968975, 52.5346481]}"
Berlin-Tempelhof,4,Berlin,"{'type': 'Point', 'coordinates': [13.384547, 52.470967]}"
Berlin-Wannsee,2,Berlin,"{'type': 'Point', 'coordinates': [13.1795275, 52.4209723]}"
Berlin-Wannsee ARZ,2,Berlin,"{'type': 'Point', 'coordinates': [13.1795275, 52.4209723]}"
Berlin-Westkreuz,3,Berlin,"{'type': 'Point', 'coordinates': [13.283966, 52.500737]}"
Berlin-Westkreuz,3,Berlin,"{'type': 'Point', 'coordinates': [13.283966, 52.500737]}"
Berlin-Westkreuz,3,Berlin,"{'type': 'Point', 'coordinates': [13.283966, 52.500737]}"
Berlin-Zehlendorf,4,Berlin,"{'type': 'Point', 'coordinates': [13.258659, 52.431067]}"
Berliner Tor (S-Bahn),3,Hamburg,"{'type': 'Point', 'coordinates': [10.02463, 53.55287]}"
Berliner Tor (S-Bahn),3,Hamburg,"{'type': 'Point', 'coordinates': [10.02463, 53.55287]}"
Berliner Tor (S-Bahn),3,Hamburg,"{'type': 'Point', 'coordinates': [10.02463, 53.55287]}"
Bernau (b Berlin),3,Bernau bei Berlin,"{'type': 'Point', 'coordinates': [13.5926414, 52.6755689]}"
Bernburg,4,Bernburg,"{'type': 'Point', 'coordinates': [11.751455, 51.79612]}"
Betriebsbahnhof Berlin-Rummelsburg,4,Berlin,"{'type': 'Point', 'coordinates': [13.497786, 52.493827]}"
Betriebsbahnhof Berlin-Schöneweide,4,Berlin,"{'type': 'Point', 'coordinates': [13.52368, 52.446905]}"
Betzdorf (Sieg),3,Betzdorf ,"{'type': 'Point', 'coordinates': [7.87005, 50.789294]}"
Beusselstraße,4,Berlin,"{'type': 'Point', 'coordinates': [13.329042, 52.534354]}"
Biberach (Riß),4,Biberach (Riß),"{'type': 'Point', 'coordinates': [9.793127, 48.101845]}"
Biblis,4,Biblis,"{'type': 'Point', 'coordinates': [8.450413, 49.688881]}"
Bielefeld Hbf,2,Bielefeld,"{'type': 'Point', 'coordinates': [8.532722, 52.029261]}"
Bielefeld Hbf,2,Bielefeld,"{'type': 'Point', 'coordinates': [8.532722, 52.029261]}"
Biesdorf,4,Berlin,"{'type': 'Point', 'coordinates': [13.555878, 52.513097]}"
Bietigheim-Bissingen,2,Bietigheim-Bissingen,"{'type': 'Point', 'coordinates': [9.137557, 48.947933]}"
Bingen (Rhein) Hbf,4,Bingen ,"{'type': 'Point', 'coordinates': [7.884263, 49.968729]}"
Bingen (Rhein) Stadt,4,Bingen ,"{'type': 'Point', 'coordinates': [7.902985, 49.969746]}"
Birkenwerder (b Berlin),4,Birkenwerder,"{'type': 'Point', 'coordinates': [13.288772, 52.688249]}"
Bitterfeld,3,Bitterfeld-Wolfen,"{'type': 'Point', 'coordinates': [12.31685, 51.622861]}"
Blankenese (S-Bahn),3,Hamburg,"{'type': 'Point', 'coordinates': [9.814607, 53.564364]}"
Blankenfelde (Kr Teltow-Fläming),4,Blankenfelde ,"{'type': 'Point', 'coordinates': [13.415982, 52.337213]}"
Blankenloch,4, Stutensee,"{'type': 'Point', 'coordinates': [8.464729, 49.066528]}"
Bobingen,4,Bobingen,"{'type': 'Point', 'coordinates': [10.837891, 48.266373]}"
Böblingen,3,Böblingen,"{'type': 'Point', 'coordinates': [9.004128, 48.687758]}"
Bochum Hbf,2,Bochum,"{'type': 'Point', 'coordinates': [7.223275, 51.478609]}"
Bochum-Langendreer,4,Bochum,"{'type': 'Point', 'coordinates': [7.323645, 51.477992]}"
Bochum-Langendreer,4,Bochum,"{'type': 'Point', 'coordinates': [7.323645, 51.477992]}"
Bochum-Langendreer West,4,Bochum,"{'type': 'Point', 'coordinates': [7.304327, 51.478032]}"
Bodenheim,4,Bodenheim,"{'type': 'Point', 'coordinates': [8.312491, 49.929585]}"
Bonn Hbf,2,Bonn,"{'type': 'Point', 'coordinates': [7.097136, 50.732008]}"
Bonn-Bad Godesberg,4,Bonn,"{'type': 'Point', 'coordinates': [7.159555, 50.683927]}"
Bonn-Beuel,4,Bonn,"{'type': 'Point', 'coordinates': [7.127657, 50.738476]}"
Boppard Hbf,4,Boppard,"{'type': 'Point', 'coordinates': [7.586102, 50.231413]}"
Bornheim-Sechtem,4,Bornheim,"{'type': 'Point', 'coordinates': [6.957454, 50.795711]}"
Bornholmer Straße,4,Berlin,"{'type': 'Point', 'coordinates': [13.397943, 52.554491]}"
Botanischer Garten,4,Berlin,"{'type': 'Point', 'coordinates': [13.306766, 52.447784]}"
Bottrop Hbf,4,Bottrop,"{'type': 'Point', 'coordinates': [6.936684, 51.50945]}"
Bottrop Hbf,4,Bottrop,"{'type': 'Point', 'coordinates': [6.936684, 51.50945]}"
Brackwede,4,Bielefeld,"{'type': 'Point', 'coordinates': [8.498426, 51.997378]}"
Brandenburg Hbf,3,Brandenburg an der Havel,"{'type': 'Point', 'coordinates': [12.566138, 52.400554]}"
Brannenburg,4,Brannenburg,"{'type': 'Point', 'coordinates': [12.106464, 47.741354]}"
Braunschweig Hbf,2,Braunschweig,"{'type': 'Point', 'coordinates': [10.540295, 52.252218]}"
Bredstedt,4,Bredstedt,"{'type': 'Point', 'coordinates': [8.970336, 54.621166]}"
Bremen Hbf,2,Bremen,"{'type': 'Point', 'coordinates': [8.813834, 53.083481]}"
Bremen-Burg,4,Bremen,"{'type': 'Point', 'coordinates': [8.704773, 53.160288]}"
Bremen-Mahndorf,4,Bremen,"{'type': 'Point', 'coordinates': [8.944627, 53.039762]}"
Bremen-Walle,4,Bremen,"{'type': 'Point', 'coordinates': [8.786241, 53.103792]}"
Bremerhaven Hbf,3,Bremerhaven,"{'type': 'Point', 'coordinates': [8.599555, 53.534912]}"
Bretten,4,Bretten,"{'type': 'Point', 'coordinates': [8.693448, 49.0369]}"
Bruchsal,2,Bruchsal,"{'type': 'Point', 'coordinates': [8.589649, 49.124622]}"
Brühl,4,Brühl,"{'type': 'Point', 'coordinates': [6.912718, 50.829249]}"
Brühl,4,Brühl,"{'type': 'Point', 'coordinates': [6.912718, 50.829249]}"
Büchen,3,Büchen,"{'type': 'Point', 'coordinates': [10.623298, 53.474972]}"
Buchholz (Nordheide),3,Buchholz i.d.Nordheide,"{'type': 'Point', 'coordinates': [9.876266, 53.324683]}"
Buchloe,3,Buchloe,"{'type': 'Point', 'coordinates': [10.716217, 48.033723]}"
Bückeburg,4,Bückeburg,"{'type': 'Point', 'coordinates': [9.047796, 52.267637]}"
Bullay DB,4,Bullay,"{'type': 'Point', 'coordinates': [7.134584, 50.05446]}"
Bünde (Westf),4,Bünde ,"{'type': 'Point', 'coordinates': [8.573876, 52.202075]}"
Bundesplatz,4,Berlin,"{'type': 'Point', 'coordinates': [13.32959, 52.477617]}"
Burg (b Magdeburg),4,Burg,"{'type': 'Point', 'coordinates': [11.840356, 52.274406]}"
Burgdorf (Han),4,Burgdorf ,"{'type': 'Point', 'coordinates': [10.002837, 52.448708]}"
Dedensen / Gümmer,4,Seelze,"{'type': 'Point', 'coordinates': [9.521252, 52.407049]}"
Deisenhofen,4,Oberhaching,"{'type': 'Point', 'coordinates': [11.583597, 48.019539]}"
Delitzsch unt Bf,4,Delitzsch,"{'type': 'Point', 'coordinates': [12.345218, 51.525227]}"
Delmenhorst,3,Delmenhorst,"{'type': 'Point', 'coordinates': [8.629758, 53.052792]}"
Denzlingen,4,Denzlingen,"{'type': 'Point', 'coordinates': [7.881434, 48.068625]}"
Dessau Hauptbahnhof,3,Dessau-Roßlau,"{'type': 'Point', 'coordinates': [12.234945, 51.839865]}"
Dieburg,4,Dieburg,"{'type': 'Point', 'coordinates': [8.839795, 49.90369]}"
Diepholz,4,Diepholz,"{'type': 'Point', 'coordinates': [8.380334, 52.604771]}"
Dillenburg,4,Dillenburg,"{'type': 'Point', 'coordinates': [8.294088, 50.734883]}"
Dillingen (Saar),3,Dillingen (Saar),"{'type': 'Point', 'coordinates': [6.72215, 49.35271]}"
Ditzingen,4,Ditzingen,"{'type': 'Point', 'coordinates': [9.06705, 48.823611]}"
Doberlug-Kirchhain,4,Doberlug-Kirchhain,"{'type': 'Point', 'coordinates': [13.564241, 51.620576]}"
Doberlug-Kirchhain,4,Doberlug-Kirchhain,"{'type': 'Point', 'coordinates': [13.564241, 51.620576]}"
Donaueschingen,4,Donaueschingen,"{'type': 'Point', 'coordinates': [8.498919, 47.947786]}"
Donauwörth,4,Donauwörth,"{'type': 'Point', 'coordinates': [10.771443, 48.714026]}"
Duisburg Hbf,1,Duisburg,"{'type': 'Point', 'coordinates': [6.775903, 51.429785]}"
Duisburg-Buchholz,4,Duisburg,"{'type': 'Point', 'coordinates': [6.775406, 51.382919]}"
Duisburg-Großenbaum,4,Duisburg,"{'type': 'Point', 'coordinates': [6.77747, 51.364774]}"
Duisburg-Meiderich Süd,4,Duisburg,"{'type': 'Point', 'coordinates': [6.780191, 51.468831]}"
Dülmen,4,Dülmen,"{'type': 'Point', 'coordinates': [7.295765, 51.827676]}"
Dülmen,4,Dülmen,"{'type': 'Point', 'coordinates': [7.295765, 51.827676]}"
Düren,3,Düren,"{'type': 'Point', 'coordinates': [6.482451, 50.809517]}"
Düren,3,Düren,"{'type': 'Point', 'coordinates': [6.482451, 50.809517]}"
Düsseldorf Flughafen,2,Düsseldorf,"{'type': 'Point', 'coordinates': [6.786836, 51.292009]}"
Düsseldorf Flughafen,2,Düsseldorf,"{'type': 'Point', 'coordinates': [6.786836, 51.292009]}"
Düsseldorf Flughafen,2,Düsseldorf,"{'type': 'Point', 'coordinates': [6.786836, 51.292009]}"
Düsseldorf Flughafen,2,Düsseldorf,"{'type': 'Point', 'coordinates': [6.786836, 51.292009]}"
Düsseldorf Hbf,1,Düsseldorf,"{'type': 'Point', 'coordinates': [6.794319, 51.219962]}"
Düsseldorf Wehrhahn,4,Düsseldorf,"{'type': 'Point', 'coordinates': [6.798173, 51.228447]}"
